date,equity,regime
2024-08-21,105816.26,Bull-Trending
2024-08-22,105788.4,Bull-Trending
2024-08-23,105794.05,Bull-Trending
2024-08-26,105791.13,Bull-Trending
2024-08-27,105792.98,Bull-Trending
2024-08-28,105790.02,Bull-Trending
2024-08-29,105790.02,Bull-Trending
2024-08-30,105790.02,Bull-Trending
2024-09-03,105790.02,Bull-Trending
2024-09-04,105786.0,Bull-Trending
2024-09-05,105783.5,Bull-Trending
2024-09-06,105750.62,Bear-Trending
2024-09-09,105765.05,Bear-Trending
2024-09-10,105922.97,Bear-Trending
2024-09-11,105962.25,Bull-Trending
2024-09-12,105953.49,Bull-Trending
2024-09-13,105962.63,Bull-Trending
2024-09-16,105893.7,Bull-Trending
2024-09-17,105916.75,Bull-Trending
2024-09-18,105920.96,Bull-Trending
2024-09-19,106321.27,Bull-Trending
2024-09-20,106192.6,Bull-Trending
2024-09-23,106399.74,Bull-Trending
2024-09-24,106475.91,Bull-Trending
2024-09-25,106583.6,Bull-Trending
2024-09-26,106531.19,Bull-Trending
2024-09-27,106586.83,Bull-Trending
2024-09-30,106662.57,Bull-Trending
2024-10-01,106402.85,Bull-Trending
2024-10-02,106208.48,Bull-Trending
2024-10-03,106067.13,Bull-Trending
2024-10-04,106306.94,Bull-Trending
2024-10-07,106015.29,Bull-Trending
2024-10-08,106268.04,Bull-Trending
2024-10-09,106279.72,Bull-Trending
2024-10-10,106227.85,Bull-Trending
2024-10-11,105832.76,Bull-Trending
2024-10-14,105932.74,Bull-Trending
2024-10-15,105886.8,Bull-Trending
2024-10-16,105930.97,Bull-Trending
2024-10-17,105958.3,Bull-Trending
2024-10-18,106010.94,Bull-Trending
2024-10-21,106128.95,Bull-Trending
2024-10-22,106227.13,Bull-Trending
2024-10-23,106145.03,Bull-Trending
2024-10-24,106383.24,Bull-Trending
2024-10-25,106472.94,Bull-Trending
2024-10-28,106427.62,Bull-Trending
2024-10-29,106477.34,Bull-Trending
2024-10-30,106463.73,Bull-Trending
2024-10-31,106002.93,Bull-Trending
2024-11-01,106056.62,Bull-Trending
2024-11-04,106000.58,Bull-Trending
2024-11-05,106231.32,Bull-Trending
2024-11-06,106674.27,Bull-Trending
2024-11-07,106892.79,Bull-Trending
2024-11-08,106975.07,Bull-Trending
2024-11-11,107002.65,Bull-Trending
2024-11-13,107010.04,Bull-Trending
2024-11-14,107005.55,Bull-Trending
2024-11-15,106833.05,Bull-Trending
2024-11-18,106987.8,Bull-Trending
2024-11-19,107114.24,Bull-Trending
2024-11-20,107073.28,Bull-Trending
2024-11-21,107035.05,Bull-Trending
2024-11-22,107141.32,Bull-Trending
2024-11-25,107110.56,Bull-Trending
2024-11-26,107278.75,Bull-Trending
2024-11-27,107170.61,Bull-Trending
2024-11-29,107335.8,Bull-Trending
2024-12-02,107563.93,Bull-Trending
2024-12-03,107628.6,Bull-Trending
2024-12-04,107808.88,Bull-Trending
2024-12-05,107925.85,Bull-Trending
2024-12-06,108048.91,Bull-Trending
2024-12-09,108127.28,Bull-Trending
2024-12-10,108181.94,Bull-Trending
2024-12-11,108329.57,Bull-Trending
2024-12-12,108295.39,Bull-Trending
2024-12-13,108386.74,Bull-Trending
2024-12-16,108531.63,Bull-Trending
2024-12-17,108634.98,Bull-Trending
2024-12-18,108466.09,Bear-Trending
2024-12-19,108486.64,Bear-Trending
2024-12-20,108447.52,Bull-Trending
2024-12-23,108557.17,Bull-Trending
2024-12-24,108872.19,Bull-Trending
2024-12-26,108872.19,Bull-Trending
2024-12-27,108872.19,Bull-Trending
2024-12-30,108866.18,Bear-Trending
2024-12-31,108844.99,Bear-Trending
2025-01-02,108756.94,Bear-Trending
2025-01-03,109155.02,Bull-Trending
2025-01-06,109182.45,Bull-Trending
2025-01-07,108927.12,Bear-Trending
2025-01-08,108934.64,Bear-Trending
2025-01-10,108932.05,Bear-Trending
2025-01-15,109354.95,Bear-Trending
2025-01-16,109352.76,Bear-Trending
2025-01-17,109360.99,Bull-Trending
2025-01-21,109325.86,Bull-Trending
2025-01-22,109331.56,Bull-Trending
2025-01-23,109330.75,Bull-Trending
2025-01-24,109326.53,Bull-Trending
2025-01-27,109356.11,Bull-Trending
2025-01-28,109588.54,Bull-Trending
2025-01-29,109493.1,Bull-Trending
2025-01-30,109484.63,Bull-Trending
2025-01-31,109476.71,Bull-Trending
2025-02-03,109420.28,Bull-Trending
2025-02-04,109516.55,Bull-Trending
2025-02-05,109522.9,Bull-Trending
2025-02-06,109531.42,Bull-Trending
2025-02-07,109505.82,Bull-Trending
2025-02-10,109507.12,Bull-Trending
2025-02-11,109530.93,Bull-Trending
2025-02-12,109541.92,Bull-Trending
2025-02-13,109832.43,Bull-Trending
2025-02-14,109821.13,Bull-Trending
2025-02-18,109821.13,Bull-Trending
2025-02-19,109821.13,Bull-Trending
2025-02-20,109809.8,Bull-Trending
2025-02-21,109803.36,Bull-Trending
2025-02-24,109839.05,Bear-Trending
2025-02-25,109837.67,Bear-Trending
2025-02-26,109683.85,Bear-Trending
2025-02-27,109613.38,Bear-Trending
2025-02-28,109706.79,Bear-Trending
2025-03-03,109706.79,Bear-Trending
2025-03-04,109706.79,Bear-Trending
2025-03-05,109706.79,Bear-Trending
2025-03-06,109706.79,Bear-Trending
2025-03-07,109704.6,Bear-Trending
2025-03-10,109535.53,Bear-Trending
2025-03-11,109570.71,Bear-Trending
2025-03-12,109632.82,Bear-Trending
2025-03-13,109417.76,Bear-Trending
2025-03-14,109552.67,Bear-Trending
2025-03-17,109515.59,Bear-Trending
2025-03-18,109429.56,Bear-Trending
2025-03-19,109537.9,Bear-Trending
2025-03-20,109510.81,Bear-Trending
2025-03-21,109657.0,Bear-Trending
2025-03-24,110001.7,Bear-Trending
2025-03-25,110066.6,Bear-Trending
2025-03-26,110064.4,Bear-Trending
2025-03-27,110041.88,Bear-Trending
2025-03-28,110024.86,Bear-Trending
2025-03-31,110012.4,Bear-Trending
