date,ticker,action,proba,regime,weight,price,shares
2024-10-15,NVDA,BUY,0.7146,Bull-Trending,0.2583,131.68,20.7812
2024-10-17,TSLA,BUY,0.6673,Bull-Trending,0.1059,221.11,5.0729
2024-10-17,QQQ,SELL,0.4158,Bull-Trending,0.1336,486.88,7.292
2024-10-21,NVDA,SELL,0.3362,Bull-Trending,0.3618,143.51,20.7812
2024-10-28,AAPL,SELL,0.4193,Bull-Trending,0.3476,231.64,4.9257
2024-10-30,AAPL,BUY,0.5723,Bull-Trending,0.5,228.83,23.2659
2024-10-31,NVDA,BUY,0.6807,Bull-Trending,0.3739,132.84,29.9644
2024-11-01,QQQ,BUY,0.7261,Bull-Trending,0.0141,484.06,0.3085
2024-11-06,NVDA,SELL,0.4384,Bull-Trending,0.2727,145.41,29.9644
2024-11-11,QQQ,SELL,0.1488,Bull-Trending,0.1343,509.27,0.3085
2024-11-15,NVDA,BUY,0.6188,Bull-Trending,0.1143,142.07,8.607
2024-11-27,QQQ,BUY,0.6118,Bull-Trending,0.177,501.81,3.7838
2024-12-04,NVDA,SELL,0.3866,Bull-Trending,0.0318,144.94,8.607
2024-12-06,NVDA,BUY,0.6421,Bull-Trending,0.0674,142.54,5.1013
2024-12-09,MSFT,SELL,0.2832,Bull-Trending,0.0103,441.3,12.2474
2024-12-12,AAPL,SELL,0.4246,Bull-Trending,0.5419,246.37,23.2659
2024-12-16,AAPL,BUY,0.5969,Bull-Trending,0.379,249.93,16.4384
2024-12-17,TSLA,SELL,0.4066,Bull-Trending,0.2071,479.38,5.0729
2024-12-19,TSLA,BUY,0.6609,Bear-Trending,0.3826,436.61,9.5054
2024-12-20,NVDA,SELL,0.4202,Bull-Trending,0.1457,134.52,5.1013
2024-12-20,AAPL,SELL,0.4458,Bull-Trending,0.3345,252.85,16.4384
2024-12-24,TSLA,SELL,0.3257,Bull-Trending,0.3107,461.82,9.5054
2024-12-24,QQQ,SELL,0.2453,Bull-Trending,0.1,526.1,3.7838
2024-12-30,AAPL,BUY,0.5625,Bear-Trending,0.2761,251.08,11.9702
2025-01-02,TSLA,BUY,0.628,Bear-Trending,0.4522,379.66,12.9627
2025-01-07,AAPL,SELL,0.4136,Bear-Trending,0.1,240.65,11.9702
2025-01-15,TSLA,SELL,0.3809,Bear-Trending,0.6,427.79,12.9627
2025-01-16,AAPL,BUY,0.6291,Bear-Trending,0.1,227.25,4.8122
2025-01-27,NVDA,BUY,0.5776,Bull-Trending,0.1972,118.5,18.192
2025-01-29,NVDA,SELL,0.4059,Bull-Trending,0.1122,123.54,18.192
2025-01-31,NVDA,BUY,0.6124,Bull-Trending,0.0141,120.15,1.2824
2025-02-03,QQQ,BUY,0.5551,Bull-Trending,0.6314,515.36,13.4129
2025-02-04,QQQ,SELL,0.2543,Bull-Trending,0.5325,520.65,13.4129
2025-02-07,NVDA,SELL,0.289,Bull-Trending,0.2633,129.67,1.2824
2025-02-12,TSLA,BUY,0.6539,Bull-Trending,0.4281,336.85,13.9215
2025-02-13,AAPL,SELL,0.3708,Bull-Trending,0.2119,240.24,4.8122
2025-02-14,TSLA,SELL,0.4167,Bull-Trending,0.1,355.48,13.9215
2025-02-20,AAPL,BUY,0.6631,Bull-Trending,0.516,245.01,23.1275
2025-02-28,AAPL,SELL,0.3201,Bear-Trending,0.3856,240.55,23.1275
2025-03-07,TSLA,BUY,0.5516,Bear-Trending,0.1,262.93,4.1724
2025-03-12,AAPL,BUY,0.7138,Bear-Trending,0.5,216.25,25.3337
2025-03-21,NVDA,BUY,0.5562,Bear-Trending,0.5,117.79,46.4856
2025-03-24,TSLA,SELL,0.282,Bear-Trending,0.1,278.11,4.1724
2025-03-24,NVDA,SELL,0.3079,Bear-Trending,0.1,121.26,46.4856
2025-03-25,AAPL,SELL,0.2985,Bear-Trending,0.1,222.56,25.3337
2025-03-26,NVDA,BUY,0.5989,Bear-Trending,0.1,113.85,9.6679
